"ID","Strain","Counts","total_counts","rel_counts","bac_copies","bac_copies_raw","Ct_Mean_bac","Ct_SD_bac","abs_counts_org","limit_passed","Type","Experiment","Plate","CommunityCombo","Treatment","Notes","present","spec_name","spec_name_uniq","Treatment_simp","total_reads","sample_geq","abs_counts","geq_passed","arrival","arrival_comm","dropout_type"
"3-3_1","ESL0825",267,4225,0.0631952662721894,2046573458.78868,1515980.33984347,15.9673128128052,0.265119314193726,129333754.673746,"Yes","bee","3","5","1'","A1-B1","","1","Bifidobacterium apousia","Bifidobacterium apousia (ESL0825)","AB",4225,484396.084920398,129333754.673746,"1","first","first1'","Full (first)"
"3-3_1","ESL0820",0,4225,0,2046573458.78868,1515980.33984347,15.9673128128052,0.265119314193726,0,"Yes","bee","3","5","1'","A1-B1","","0","Bifidobacterium apousia","Bifidobacterium apousia (ESL0820)","AB",4225,484396.084920398,1,"0","second","second1'","Full (second)"
"3-3_1","ESL0822",103,4225,0.0243786982248521,2046573458.78868,1515980.33984347,15.9673128128052,0.265119314193726,49892796.746801,"Yes","bee","3","5","1'","A1-B1","","1","Bifidobacterium asteroides","Bifidobacterium asteroides (ESL0822)","AB",4225,484396.084920398,49892796.746801,"1","first","first1'","Full (first)"
"3-3_1","ESL0170",0,4225,0,2046573458.78868,1515980.33984347,15.9673128128052,0.265119314193726,0,"Yes","bee","3","5","1'","A1-B1","","0","Bifidobacterium asteroides","Bifidobacterium asteroides (ESL0170)","AB",4225,484396.084920398,1,"0","second","second1'","Full (second)"
"3-3_1","ESL0824",259,4225,0.061301775147929,2046573458.78868,1515980.33984347,15.9673128128052,0.265119314193726,125458585.994383,"Yes","bee","3","5","1'","A1-B1","","1","Bifidobacterium polysaccharolyticum","Bifidobacterium polysaccharolyticum (ESL0824)","AB",4225,484396.084920398,125458585.994383,"1","first","first1'","Full (first)"
"3-3_1","ESL0198",0,4225,0,2046573458.78868,1515980.33984347,15.9673128128052,0.265119314193726,0,"Yes","bee","3","5","1'","A1-B1","","0","Bifidobacterium polysaccharolyticum","Bifidobacterium polysaccharolyticum (ESL0198)","AB",4225,484396.084920398,1,"0","second","second1'","Full (second)"
"3-3_1","ESL0827",93,4225,0.0220118343195266,2046573458.78868,1515980.33984347,15.9673128128052,0.265119314193726,45048835.897597,"Yes","bee","3","5","1'","A1-B1","","1","Bifidobacterium sp1.","Bifidobacterium sp1. (ESL0827)","AB",4225,484396.084920398,45048835.897597,"1","first","first1'","Full (first)"
"3-3_1","ESL0199",20,4225,0.00473372781065089,2046573458.78868,1515980.33984347,15.9673128128052,0.265119314193726,9687921.69840795,"Yes","bee","3","5","1'","A1-B1","","1","Bifidobacterium sp1.","Bifidobacterium sp1. (ESL0199)","AB",4225,484396.084920398,9687921.69840795,"1","second","second1'","Full (second)"
"3-3_1","ESL0200",42,4225,0.00994082840236686,2046573458.78868,1515980.33984347,15.9673128128052,0.265119314193726,20344635.5666567,"Yes","bee","3","5","1'","A1-B1","","1","Bifidobacterium sp2.","Bifidobacterium sp2. (ESL0200)","AB",4225,484396.084920398,20344635.5666567,"1","first","first1'","Full (first)"
"3-3_1","ESL0819",0,4225,0,2046573458.78868,1515980.33984347,15.9673128128052,0.265119314193726,0,"Yes","bee","3","5","1'","A1-B1","","0","Bifidobacterium sp2.","Bifidobacterium sp2. (ESL0819)","AB",4225,484396.084920398,1,"0","second","second1'","Full (second)"
"3-3_1","ESL0394",119,4225,0.0281656804733728,2046573458.78868,1515980.33984347,15.9673128128052,0.265119314193726,57643134.1055273,"Yes","bee","3","5","1'","A1-B1","","1","Lactobacillus melliventris","Lactobacillus melliventris (ESL0394)","AB",4225,484396.084920398,57643134.1055273,"1","second","second1'","Full (second)"
"3-3_1","ESL0263",237,4225,0.056094674556213,2046573458.78868,1515980.33984347,15.9673128128052,0.265119314193726,114801872.126134,"Yes","bee","3","5","1'","A1-B1","","1","Lactobacillus apis","Lactobacillus apis (ESL0263)","AB",4225,484396.084920398,114801872.126134,"1","second","second1'","Full (second)"
"3-3_1","ESL0185",287,4225,0.0679289940828402,2046573458.78868,1515980.33984347,15.9673128128052,0.265119314193726,139021676.372154,"Yes","bee","3","5","1'","A1-B1","","1","Lactobacillus apis","Lactobacillus apis (ESL0185)","AB",4225,484396.084920398,139021676.372154,"1","first","first1'","Full (first)"
"3-3_1","ESL0183",1559,4225,0.368994082840237,2046573458.78868,1515980.33984347,15.9673128128052,0.265119314193726,755173496.3909,"Yes","bee","3","5","1'","A1-B1","","1","Lactobacillus helsingborgensis","Lactobacillus helsingborgensis (ESL0183)","AB",4225,484396.084920398,755173496.3909,"1","first","first1'","Full (first)"
"3-3_1","ESL0835",0,4225,0,2046573458.78868,1515980.33984347,15.9673128128052,0.265119314193726,0,"Yes","bee","3","5","1'","A1-B1","","0","Lactobacillus helsingborgensis","Lactobacillus helsingborgensis (ESL0835)","AB",4225,484396.084920398,1,"0","second","second1'","Full (second)"
"3-3_1","ESL0184",52,4225,0.0123076923076923,2046573458.78868,1515980.33984347,15.9673128128052,0.265119314193726,25188596.4158607,"Yes","bee","3","5","1'","A1-B1","","1","Lactobacillus melliventris","Lactobacillus melliventris (ESL0184)","AB",4225,484396.084920398,25188596.4158607,"1","first","first1'","Full (first)"
"3-3_1","ESL0350",4,4225,0.000946745562130178,2046573458.78868,1515980.33984347,15.9673128128052,0.265119314193726,1937584.33968159,"Yes","bee","3","5","1'","A1-B1","","1","Lactobacillus melliventris","Lactobacillus melliventris (ESL0350)","AB",4225,484396.084920398,1937584.33968159,"1","second","second1'","Full (second)"
"3-3_1","ESL0186",1159,4225,0.274319526627219,2046573458.78868,1515980.33984347,15.9673128128052,0.265119314193726,561415062.422741,"Yes","bee","3","5","1'","A1-B1","","1","Lactobacillus kullabergensis","Lactobacillus kullabergensis (ESL0186)","AB",4225,484396.084920398,561415062.422741,"1","first","first1'","Full (first)"
"3-3_1","ESL0261",0,4225,0,2046573458.78868,1515980.33984347,15.9673128128052,0.265119314193726,0,"Yes","bee","3","5","1'","A1-B1","","0","Lactobacillus kullabergensis","Lactobacillus kullabergensis (ESL0261)","AB",4225,484396.084920398,1,"0","second","second1'","Full (second)"
"3-3_2","ESL0825",180,3566,0.0504767246214246,4239634023.53451,3140469.6470626,14.8939657211304,0.0373309254646301,214002839.101574,"Yes","bee","3","5","1'","A1-B1","","1","Bifidobacterium apousia","Bifidobacterium apousia (ESL0825)","AB",3566,1188904.66167541,214002839.101574,"1","first","first1'","Full (first)"
"3-3_2","ESL0820",0,3566,0,4239634023.53451,3140469.6470626,14.8939657211304,0.0373309254646301,0,"Yes","bee","3","5","1'","A1-B1","","0","Bifidobacterium apousia","Bifidobacterium apousia (ESL0820)","AB",3566,1188904.66167541,1,"0","second","second1'","Full (second)"
"3-3_2","ESL0822",146,3566,0.0409422321929333,4239634023.53451,3140469.6470626,14.8939657211304,0.0373309254646301,173580080.60461,"Yes","bee","3","5","1'","A1-B1","","1","Bifidobacterium asteroides","Bifidobacterium asteroides (ESL0822)","AB",3566,1188904.66167541,173580080.60461,"1","first","first1'","Full (first)"
"3-3_2","ESL0170",0,3566,0,4239634023.53451,3140469.6470626,14.8939657211304,0.0373309254646301,0,"Yes","bee","3","5","1'","A1-B1","","0","Bifidobacterium asteroides","Bifidobacterium asteroides (ESL0170)","AB",3566,1188904.66167541,1,"0","second","second1'","Full (second)"
"3-3_2","ESL0824",155,3566,0.0434660684240045,4239634023.53451,3140469.6470626,14.8939657211304,0.0373309254646301,184280222.559688,"Yes","bee","3","5","1'","A1-B1","","1","Bifidobacterium polysaccharolyticum","Bifidobacterium polysaccharolyticum (ESL0824)","AB",3566,1188904.66167541,184280222.559688,"1","first","first1'","Full (first)"
"3-3_2","ESL0198",0,3566,0,4239634023.53451,3140469.6470626,14.8939657211304,0.0373309254646301,0,"Yes","bee","3","5","1'","A1-B1","","0","Bifidobacterium polysaccharolyticum","Bifidobacterium polysaccharolyticum (ESL0198)","AB",3566,1188904.66167541,1,"0","second","second1'","Full (second)"
